"gene_name" "Other" "Lambda" "Omicron" "Co-Infection"
"1" "ORF1ab:nsp3" 0.127102599596734 0.142024572230912 0.129856387289619 0.258864348612707
"2" "S" 2.03348275653771 1.88958621590951 1.36526345083759 2.4547513676194
"3" "ORF1ab:RNA-dependent-RNA-polymerase" 0 0 0 0.0540589943836608
"4" "ORF1ab:nsp2" 0.0595726805354167 0 0 0.149115873727502
"5" "ORF1ab:nsp4" 0.0246477753236814 0 0.0324411149631223 0.0955127850262809
"6" "ORF8" 1.975342158084 0.409764347278958 1.50629672650723 2.07643200795589
"7" "ORF1ab:endoRNAse" 0.037088365253919 0.164262609984239 0 0.257177946959471
"8" "ORF10" 6.00871899358591 4.27879790882824 5.13487151025813 181.571960336402
"9" "ORF1ab:leader-protein" 0 0.0924331356848056 0.275523476256662 0.126393376081093
"10" "M" 0 0 0 0.282457736638601
"11" "N" 1.93348362190436 0.398960136006311 1.65001428043476 1.20118035218121
"12" "ORF1ab:helicase" 0.453123550218913 0.177311050117937 0.179587918004417 0.258105923399709
"13" "ORF1ab:nsp8" 0.116559778774851 0.246489572447373 0 0.130456515738021
"14" "ORF3a" 2.11130875816733 2.14666938695646 1.18173342626332 1.66750786038497
"15" "ORF1ab:2'-O-ribose-methyltransferase" 2.0063679586242 0.915329669632764 0.666070889331207 0.807172627366926
"16" "ORF1ab:3'-to-5'-exonuclease" 1.59174592658299 1.32341016226478 0.757827581534102 2.65187624809686
"17" "ORF1ab:nsp9" 0 0 0 0
"18" "ORF1ab:nsp7" 0 0 0 0
"19" "ORF1ab:3C-like-proteinase" 1.63700890577119 1.29979773728415 0.671785075762722 6.04956840447297
"20" "ORF7a" 2.14983821036379 1.64059812344885 1.52345636078567 124.390255376186
"21" "ORF1ab:nsp6" 1.38035268760234 1.44919813505499 0.818733823675413 2.46466920042111
"22" "ORF1ab:nsp10" 0.540033343951262 0.88146801707766 0.0695679984465468 39.2704118928141
"23" "ORF6" 0.221693722631429 0 0.0560044140311876 0.618859251772083
"24" "ORF1ab:nsp11" 0 0 0 0
"25" "E" 1.13830503708836 1.75657622106416 0.980568861262301 1.39193582683827
